Participant,Face detections,Body detections,proportion face,proportion body,proportion background,median duration face,median duration body,median duration background,median duration left_eye,median duration right_eye,median duration nose,median duration mouth,proportion left_eye,proportion right_eye,proportion nose,proportion mouth,face fixations,body fixations,background fixations
09,281420,1584532,0.03125,0.3677424863387978,0.6010075136612022,262.75,235.0,230.25,389.7,360.3469387755102,359.734375,428.06451612903226,0.2553191489361702,0.20851063829787234,0.2723404255319149,0.26382978723404255,366,4307,7039
10,197856,1431774,0.0017413512885999535,0.18632458788019504,0.811934060831205,290.259,285.0,260.25,,546.0,428.0,167.5,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,15,1605,6994
11,188260,1390940,0.009521615603163634,0.2873377869922445,0.7031405974045919,192.6875,205.0,200.128,230.3,409.85714285714283,178.61111111111111,160.17857142857142,0.2127659574468085,0.2978723404255319,0.19148936170212766,0.2978723404255319,124,3742,9157
12,170171,1281786,0.016770354341357856,0.260661797854116,0.7225678478045262,227.6875,195.0,200.135,239.8,247.52272727272728,385.12820512820514,283.6666666666667,0.23178807947019867,0.2913907284768212,0.2582781456953642,0.2185430463576159,186,2891,8014
13,330536,1584314,0.015283842794759825,0.32838427947598253,0.6563318777292576,247.6875,295.0,305.25,189.66666666666666,339.2,239.16666666666666,230.0,0.4166666666666667,0.2777777777777778,0.16666666666666666,0.1388888888888889,140,3008,6012
14,279858,1531882,0.012576588197355692,0.5062882940986778,0.48113511770396644,215.25,235.0,230.123,358.2,464.8333333333333,250.08333333333334,254.23529411764707,0.14705882352941177,0.17647058823529413,0.17647058823529413,0.5,117,4710,4476
15,177899,1235983,0.01511958214972968,0.2391642994593604,0.7457161183909099,205.25,240.0,230.25,374.04761904761904,248.6,236.6,263.1,0.375,0.44642857142857145,0.08928571428571429,0.08928571428571429,165,2610,8138
16,181867,1230461,0.010769532014881535,0.1678088897591541,0.8214215782259644,227.755,265.0,260.2495,243.9111111111111,577.4583333333334,264.25,221.66666666666666,0.5172413793103449,0.27586206896551724,0.13793103448275862,0.06896551724137931,110,1714,8390
18,443292,1972187,0.006517265035444775,0.3752572604619255,0.6182254745026298,290.25,295.0,295.255,193.75,391.5,,195.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,57,3282,5407
19,291095,1468855,0.003941663381947182,0.3866771777690185,0.6093811588490343,190.12650000000002,245.0,235.251,245.0,255.0,253.44444444444446,259.1875,0.06666666666666667,0.1,0.3,0.5333333333333333,40,3924,6184
20,315937,1548018,0.005122950819672131,0.37414617486338797,0.6207308743169399,230.1875,225.0,230.247,332.2,,320.22222222222223,295.2,0.3409090909090909,0.0,0.20454545454545456,0.45454545454545453,60,4382,7270
21,213973,1328674,0.014785114647287307,0.3346698408720712,0.6505450444806415,265.25,310.0,330.25,375.2857142857143,203.63636363636363,357.44444444444446,470.25,0.1794871794871795,0.28205128205128205,0.23076923076923078,0.3076923076923077,118,2671,5192
22,189937,1285955,0.01329324260167748,0.29213483146067415,0.6945719259376484,235.1875,235.0,235.111,287.0,258.8666666666667,495.0967741935484,273.0769230769231,0.22105263157894736,0.3157894736842105,0.3263157894736842,0.1368421052631579,168,3692,8778
23,197969,1337841,0.011470860314523589,0.3013876040703053,0.6871415356151711,147.625,155.0,160.25,182.6,195.1,179.0,235.16216216216216,0.1388888888888889,0.1388888888888889,0.20833333333333334,0.5138888888888888,124,3258,7428
24,208178,1276239,0.015631393731074555,0.19224159096489074,0.7921270153040347,205.129,225.0,220.125,219.33333333333334,257.7368421052632,200.3846153846154,205.9375,0.30434782608695654,0.2753623188405797,0.18840579710144928,0.2318840579710145,191,2349,9679
27,163689,1142898,0.004543389368468878,0.2210358927760109,0.7744207178555202,192.67950000000002,210.0,205.25,230.0,243.2,254.0,170.83333333333334,0.09090909090909091,0.22727272727272727,0.4090909090909091,0.2727272727272727,60,2919,10227
28,353209,1650075,0.014148831378167815,0.3631234888510791,0.6227276797707532,232.6325,230.0,205.25,361.34615384615387,407.09090909090907,257.0,272.74074074074076,0.3170731707317073,0.13414634146341464,0.21951219512195122,0.32926829268292684,158,4055,6954
29,556198,1870770,0.027836034318398473,0.38531935176358434,0.5868446139180171,227.753,280.0,290.25,249.17857142857142,286.38461538461536,264.5,285.7,0.29473684210526313,0.4105263157894737,0.08421052631578947,0.21052631578947367,292,4042,6156
30,250633,1622411,0.012102153611587573,0.4826567562416619,0.5052410901467506,350.25,280.0,270.25,290.0,204.16666666666666,528.0,525.8641975308642,0.021505376344086023,0.06451612903225806,0.043010752688172046,0.8709677419354839,127,5065,5302
32,163280,1227584,0.00475517285695926,0.30998586299961445,0.6852589641434262,230.243,280.0,270.2445,245.0,450.0,340.0,300.09090909090907,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.6111111111111112,37,2412,5332
33,309754,1463425,0.008730329812459582,0.4856650140116404,0.5056046561759,240.249,250.0,260.26,166.25,250.0,150.0,198.35294117647058,0.16,0.12,0.04,0.68,81,4506,4691
36,296337,1358393,0.014243197278911565,0.29942602040816324,0.6863307823129252,217.688,225.0,220.25,299.1034482758621,353.5263157894737,410.27777777777777,236.5625,0.35365853658536583,0.23170731707317074,0.21951219512195122,0.1951219512195122,134,2817,6457
